,Encoding,CRF,TMO,Temporal,Spatial,Content,SurealMOS
0,pq,39,Oskarsson17TMO,smooth,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Daylight1,31.960609638282406
1,hlg,23,Oskarsson17TMO,framewise,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Snow1,49.49660999282752
2,hlg,31,Yang21TMO,framewise,desat_0.25,Lights2,45.16320612851868
3,pq,31,ITU21TMO,shot,peak_hdr_100000.0,Flowers,55.62313411261439
4,pq,31,Rana19TMO,shot,desat_0.5,Chasing3,41.646433124566194
5,pq,31,Shan12TMO,smooth,wavelet_haar_levels_2,CargoBoat,42.482276342828364
6,pq,23,Yang21TMO,smooth,desat_0.0,Daylight1,41.10840946787508
7,hlg,23,Shan12TMO,framewise,wavelet_haar_levels_2,Snow2,58.17091181413204
8,hlg,23,Reinhard12TMO,framewise,viewing_cond_neutral,Sunset1,53.08611949927889
9,hlg,23,HableTMO,framewise,desat_0.75,Snow1,40.94325388409475
10,hlg,39,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Buildings,47.81256013575731
11,pq,39,Shan12TMO,framewise,wavelet_haar_levels_1,CargoBoat,31.157305624531094
12,hlg,39,Shan12TMO,framewise,wavelet_haar_levels_3,Sunset1,39.41502356540207
13,pq,23,Rana19TMO,shot,desat_0.0,Flowers,49.009227999919545
14,hlg,39,Oskarsson17TMO,framewise,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,Sunset1,37.73908936140607
15,pq,31,ITU21TMO,shot,peak_hdr_1000.0,Chasing3,45.07013039164037
16,hlg,23,Rana19TMO,shot,desat_0.25,Lights2,48.28105735241945
17,hlg,39,ColorTransformTMO,framewise,None,Buildings,51.09190153147201
18,hlg,31,Durand02TMO,smooth,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Snow1,48.47803885467822
19,pq,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,Chasing3,52.15408598950417
20,pq,23,Reinhard12TMO,smooth,viewing_cond_green,Flowers,69.89753518640569
21,pq,23,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Chasing1,53.8026182250472
22,pq,31,ITU21TMO,framewise,peak_hdr_1000.0,Chasing1,52.54183077258449
23,hlg,39,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Snow2,42.36620195861186
24,hlg,31,Rana19TMO,framewise,desat_0.25,Buildings,46.21100930136588
25,pq,39,Yang21TMO,smooth,desat_0.25,Flowers,57.47710270349123
26,hlg,31,Shan12TMO,shot,wavelet_haar_levels_4,Snow2,53.92134767382641
27,hlg,39,Rana19TMO,shot,desat_0.5,Buildings,37.891817534893875
28,pq,23,Durand02TMO,smooth,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Chasing1,73.72789650712757
29,hlg,23,Oskarsson17TMO,shot,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,Lights2,56.74307839437264
30,pq,23,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Daylight1,44.00277509202151
31,pq,39,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Daylight1,36.79181793358311
